-20,-30,0.3692
-20,-25,0.2991
-20,-20,0.2417
-20,-15,0.1692
-20,-10,0.1078
-20,-8,0.0874
-20,-6,0.0837
-20,-4,0.0572
-20,-2,0.026
-20,0,0
-20,2,-0.0258
-20,4,-0.0592
-20,6,-0.0863
-20,8,-0.1209
-20,10,-0.1504
-20,15,-0.2106
-20,20,-0.2836
-20,25,-0.3396
-20,30,-0.4106
-15,-30,0.4368
-15,-25,0.3797
-15,-20,0.3249
-15,-15,0.2636
-15,-10,0.1826
-15,-8,0.1456
-15,-6,0.1068
-15,-4,0.0701
-15,-2,0.0336
-15,0,0
-15,2,-0.0337
-15,4,-0.0702
-15,6,-0.11
-15,8,-0.15
-15,10,-0.1902
-15,15,-0.2712
-15,20,-0.3332
-15,25,-0.3882
-15,30,-0.4452
-10,-30,0.5
-10,-25,0.4441
-10,-20,0.3671
-10,-15,0.2896
-10,-10,0.1871
-10,-8,0.1475
-10,-6,0.1096
-10,-4,0.0757
-10,-2,0.0377
-10,0,0
-10,2,-0.0339
-10,4,-0.0708
-10,6,-0.1108
-10,8,-0.1513
-10,10,-0.1949
-10,15,-0.2978
-10,20,-0.3758
-10,25,-0.4528
-10,30,-0.5078
-5,-30,0.5683
-5,-25,0.4913
-5,-20,0.3913
-5,-15,0.2943
-5,-10,0.1926
-5,-8,0.149
-5,-6,0.1125
-5,-4,0.0723
-5,-2,0.0369
-5,0,0
-5,2,-0.063
-5,4,-0.0765
-5,6,-0.1169
-5,8,-0.1644
-5,10,-0.2132
-5,15,-0.3148
-5,20,-0.4118
-5,25,-0.513
-5,30,-0.5889
0,-30,0.6293
0,-25,0.5313
0,-20,0.4173
0,-15,0.3053
0,-10,0.2024
0,-8,0.1582
0,-6,0.1116
0,-4,0.0729
0,-2,0.0374
0,0,0
0,2,-0.0374
0,4,-0.0776
0,6,-0.1223
0,8,-0.1712
0,10,-0.2158
0,15,-0.3196
0,20,-0.4308
0,25,-0.5443
0,30,-0.6426
5,-30,0.6397
5,-25,0.5367
5,-20,0.4267
5,-15,0.3097
5,-10,0.2042
5,-8,0.163
5,-6,0.1174
5,-4,0.0775
5,-2,0.0394
5,0,0
5,2,-0.0352
5,4,-0.0785
5,6,-0.1189
5,8,-0.1689
5,10,-0.215
5,15,-0.3218
5,20,-0.4364
5,25,-0.5448
5,30,-0.6496
10,-30,0.6132
10,-25,0.5192
10,-20,0.4302
10,-15,0.3142
10,-10,0.208
10,-8,0.1631
10,-6,0.1187
10,-4,0.0784
10,-2,0.37
10,0,0
10,2,-0.0378
10,4,-0.0774
10,6,-0.1228
10,8,-0.1664
10,10,-0.2153
10,15,-0.3196
10,20,-0.4353
10,25,-0.5237
10,30,-0.6177
15,-30,0.5416
15,-25,0.4876
15,-20,0.4126
15,-15,0.3066
15,-10,0.2023
15,-8,0.1576
15,-6,1168
15,-4,0.0718
15,-2,0.037
15,0,0
15,2,-0.0368
15,4,-0.0784
15,6,-0.1194
15,8,-0.1636
15,10,-0.2096
15,15,-0.3143
15,20,-0.4223
15,25,-0.4947
15,30,-0.5499
20,-30,0.475
20,-25,0.375
20,-20,0.295
20,-15,0.23
20,-10,0.1576
20,-8,0.1254
20,-6,0.0919
20,-4,0.059
20,-2,0.0282
20,0,0
20,2,-0.0313
20,4,-0.067
20,6,-0.1023
20,8,-0.1374
20,10,-0.171
20,15,-0.2452
20,20,-0.3089
20,25,-0.3869
20,30,-0.488
25,-30,0.4878
25,-25,0.3708
25,-20,0.2508
25,-15,0.1578
25,-10,0.1176
25,-8,0.1174
25,-6,0.0893
25,-4,0.0585
25,-2,0.0286
25,0,0
25,2,-0.0301
25,4,-0.0566
25,6,-0.0925
25,8,-0.1126
25,10,-0.1321
25,15,-0.1714
25,20,-0.2647
25,25,-0.385
25,30,-0.5025
30,-30,0.3436
30,-25,0.3226
30,-20,0.2286
30,-15,0.1396
30,-10,0.0825
30,-8,0.0801
30,-6,0.0757
30,-4,0.0549
30,-2,0.0287
30,0,0
30,2,-0.0289
30,4,-0.0527
30,6,-0.0724
30,8,-0.0939
30,10,-0.1136
30,15,-0.1694
30,20,-0.2589
30,25,-0.3511
30,30,-0.3742
35,-30,0.2437
35,-25,0.2267
35,-20,0.1757
35,-15,0.1307
35,-10,0.0776
35,-8,0.0602
35,-6,0.0535
35,-4,0.0407
35,-2,0.0181
35,0,0
35,2,-0.0214
35,4,-0.0537
35,6,-0.0808
35,8,-0.1009
35,10,-0.1226
35,15,-0.1766
35,20,-0.2208
35,25,-0.2714
35,30,-0.2901
40,-30,0.1976
40,-25,0.1776
40,-20,0.1566
40,-15,0.1286
40,-10,0.0906
40,-8,0.0737
40,-6,0.0593
40,-4,0.0505
40,-2,0.0188
40,0,0
40,2,-0.0286
40,4,-0.0516
40,6,-0.0737
40,8,-0.0938
40,10,-0.1132
40,15,-0.1503
40,20,-0.1791
40,25,-0.1996
40,30,-0.2195
45,-30,0.1741
45,-25,0.1251
45,-20,0.1201
45,-15,0.1321
45,-10,0.111
45,-8,0.0854
45,-6,0.055
45,-4,0.0339
45,-2,0.0183
45,0,0
45,2,-0.0544
45,4,-0.0929
45,6,-0.1312
45,8,-0.1581
45,10,-0.1766
45,15,-0.1977
45,20,-0.1859
45,25,-0.19
45,30,-0.2385
