-20,-30,0.3747
-20,-25,0.3113
-20,-20,0.2855
-20,-15,0.2184
-20,-10,0.1376
-20,-8,0.1109
-20,-6,919
-20,-4,0.626
-20,-2,0.409
-20,0,0.019
-20,2,-0.0063
-20,4,-0.0245
-20,6,-0.0503
-20,8,-0.0785
-20,10,-0.104
-20,15,-0.1851
-20,20,-0.2531
-20,25,-0.2791
-20,30,-0.3431
-15,-30,0.3972
-15,-25,0.3293
-15,-20,0.2807
-15,-15,0.211
-15,-10,0.1468
-15,-8,0.1207
-15,-6,0.0914
-15,-4,0.0638
-15,-2,0.0383
-15,0,0.0157
-15,2,-0.0035
-15,4,-0.0242
-15,6,-0.0501
-15,8,-0.0849
-15,10,-0.1166
-15,15,-0.181
-15,20,-0.251
-15,25,-0.299
-15,30,-0.369
-10,-30,0.4252
-10,-25,0.3679
-10,-20,0.3145
-10,-15,0.2356
-10,-10,0.1679
-10,-8,0.1287
-10,-6,0.0939
-10,-4,0.0618
-10,-2,0.0315
-10,0,0.016
-10,2,-0.0001
-10,4,-0.0307
-10,6,-0.0636
-10,8,-0.0997
-10,10,-0.1352
-10,15,-0.2018
-10,20,-0.2802
-10,25,-0.3362
-10,30,-0.3912
-5,-30,0.6008
-5,-25,0.5148
-5,-20,0.4158
-5,-15,0.3148
-5,-10,0.205
-5,-8,0.1656
-5,-6,0.1276
-5,-4,0.088
-5,-2,0.0509
-5,0,0.0152
-5,2,-0.0162
-5,4,-0.054
-5,6,-0.0889
-5,8,-0.132
-5,10,-0.1783
-5,15,-0.2843
-5,20,-0.3859
-5,25,-0.4843
-5,30,-0.5669
0,-30,0.6628
0,-25,0.5668
0,-20,0.4528
0,-15,0.3338
0,-10,0.2168
0,-8,0.1837
0,-6,0.1428
0,-4,0.1001
0,-2,0.0611
0,0,0.0235
0,2,-0.0128
0,4,-0.049
0,6,-0.0919
0,8,-0.1312
0,10,-0.1783
0,15,-0.2962
0,20,-0.4152
0,25,-0.5288
0,30,-0.6256
5,-30,0.7024
5,-25,0.6094
5,-20,0.4894
5,-15,0.3584
5,-10,0.2246
5,-8,0.1894
5,-6,0.1486
5,-4,0.1064
5,-2,0.0665
5,0,0.0288
5,2,-0.0087
5,4,-0.0423
5,6,-0.088
5,8,-0.1306
5,10,-0.1756
5,15,-0.2977
5,20,-0.4218
5,25,-0.5479
5,30,-0.6396
10,-30,0.6715
10,-25,0.5855
