-20,-30,-0.0633
-20,-25,-0.0667
-20,-20,-0.0565
-20,-15,-0.0418
-20,-10,-0.0175
-20,-8,-0.0093
-20,-6,-0.0006
-20,-4,0.0047
-20,-2,0.0034
-20,0,0
-20,2,-0.0048
-20,4,-0.0106
-20,6,-0.0074
-20,8,-0.0015
-20,10,0.0052
-20,15,0.0297
-20,20,0.0443
-20,25,0.0545
-20,30,0.051
-15,-30,-0.0621
-15,-25,-0.0579
-15,-20,-0.0454
-15,-15,-0.0285
-15,-10,-0.0181
-15,-8,-0.0133
-15,-6,-0.0067
-15,-4,-0.001
-15,-2,0.001
-15,0,0
-15,2,0.0004
-15,4,0.0028
-15,6,0.0071
-15,8,0.0151
-15,10,0.02
-15,15,0.0303
-15,20,0.0473
-15,25,0.0602
-15,30,0.0641
-10,-30,-0.0678
-10,-25,-0.0588
-10,-20,-0.0493
-10,-15,-0.0393
-10,-10,-0.0242
-10,-8,-0.0167
-10,-6,-0.0098
-10,-4,-0.0022
-10,-2,0.0022
-10,0,0
-10,2,0.0047
-10,4,0.0096
-10,6,0.0163
-10,8,0.0245
-10,10,0.032
-10,15,0.0473
-10,20,0.0572
-10,25,0.0666
-10,30,0.0754
-5,-30,-0.085
-5,-25,-0.0761
-5,-20,0.0639
-5,-15,-0.0478
-5,-10,-0.0354
-5,-8,-0.0263
-5,-6,-0.0184
-5,-4,-0.0114
-5,-2,-0.0055
-5,0,0
-5,2,0.0054
-5,4,0.0112
-5,6,0.0189
-5,8,0.029
-5,10,0.0392
-5,15,0.0516
-5,20,0.068
-5,25,0.08
-5,30,0.0886
0,-30,-0.0995
0,-25,-0.0869
0,-20,-0.0795
0,-15,-0.0528
0,-10,-0.0375
0,-8,-0.028
0,-6,-0.0193
0,-4,-0.0118
0,-2,-0.0053
0,0,0
0,2,0.0055
0,4,0.0122
0,6,0.0208
0,8,0.0302
0,10,0.0393
0,15,0.0547
0,20,0.0706
0,25,0.0891
0,30,0.1034
5,-30,-0.1044
5,-25,-0.0824
5,-20,-0.0691
5,-15,-0.0521
5,-10,-0.0352
5,-8,-0.028
5,-6,-0.0193
5,-4,-0.0121
5,-2,-0.005
5,0,0
5,2,0.0056
5,4,0.0132
5,6,0.021
5,8,0.0301
5,10,0.0383
5,15,0.0553
5,20,0.0721
5,25,0.0858
5,30,0.1075
10,-30,-0.0981
10,-25,-0.0759
10,-20,-0.0631
10,-15,-0.0478
10,-10,-0.0358
10,-8,-0.0283
10,-6,-0.0201
10,-4,-0.0125
10,-2,-0.0054
10,0,0
10,2,0.0054
10,4,0.0131
10,6,0.0225
10,8,0.0309
10,10,0.0391
10,15,0.0512
10,20,0.0668
10,25,0.0798
10,30,0.1018
15,-30,-0.0976
15,-25,-0.0618
15,-20,-0.0475
15,-15,-0.0447
15,-10,-0.0339
15,-8,-0.0267
15,-6,-0.019
15,-4,-0.0114
15,-2,-0.0045
15,0,0
15,2,0.0055
15,4,0.0129
15,6,0.0223
15,8,0.0304
15,10,0.0372
15,15,0.048
15,20,0.0509
15,25,0.0647
15,30,0.0909
20,-30,-0.0677
20,-25,-0.0506
20,-20,-0.029
20,-15,-0.0276
20,-10,-0.0259
20,-8,-0.0216
20,-6,-0.0151
20,-4,-0.0088
20,-2,-0.004
20,0,0
20,2,-0.0022
20,4,0.0021
20,6,0.0099
20,8,0.061
20,10,0.021
20,15,0.0226
20,20,0.0241
20,25,0.046
20,30,0.0627
25,-30,-0.0488
25,-25,-0.0351
25,-20,-0.0163
25,-15,-0.0128
25,-10,-0.0155
25,-8,-0.0115
25,-6,-0.0072
25,-4,-0.0037
25,-2,-0.0016
25,0,0
25,2,0.0013
25,4,0.0047
25,6,0.0085
25,8,0.0132
25,10,0.0157
25,15,0.0132
25,20,0.0162
25,25,0.0347
25,30,0.0487
30,-30,-0.0102
30,-25,0.0155
30,-20,0.0287
30,-15,0.0256
30,-10,0.0294
30,-8,0.0067
30,-6,0.004
30,-4,0.0046
30,-2,0.0038
30,0,0
30,2,-0.0042
30,4,-0.005
30,6,-0.0069
30,8,-0.009
30,10,-0.0115
30,15,-0.0214
30,20,-0.0218
30,25,0.0055
30,30,0.0417
35,-30,-0.0028
35,-25,0.0314
35,-20,0.0572
35,-15,0.0712
35,-10,0.0545
35,-8,0.0537
35,-6,0.0413
35,-4,0.0254
35,-2,0.0145
35,0,0
35,2,-0.0104
35,4,-0.0162
35,6,-0.0223
35,8,-0.0312
35,10,-0.0506
35,15,-0.067
35,20,-0.0536
35,25,-0.0276
35,30,0.0069
40,-30,-0.0037
40,-25,0.0167
40,-20,0.077
40,-15,0.0803
40,-10,0.0573
40,-8,0.0433
40,-6,0.0292
40,-4,0.0184
40,-2,0.0068
40,0,0
40,2,-0.0048
40,4,-0.0115
40,6,-0.0233
40,8,-0.0332
40,10,-0.0492
40,15,-0.0762
40,20,-0.0727
40,25,-0.0125
40,30,0.0079
45,-30,-0.012
45,-25,0.0027
45,-20,0.0397
45,-15,0.0577
45,-10,0.0399
45,-8,0.0304
45,-6,0.02
45,-4,0.0147
45,-2,0.0062
45,0,0
45,2,-0.0145
45,4,-0.0346
45,6,-0.0442
45,8,-0.058
45,10,-0.0698
45,15,-0.09
45,20,-0.0704
45,25,-0.0336
45,30,-0.0191
50,-30,-0.0373
50,-25,-0.0274
50,-20,-0.0096
50,-15,0.0216
50,-10,0.0319
50,-8,0.0296
50,-6,0.0298
50,-4,0.0157
50,-2,0.0104
50,0,0
50,2,-0.0082
50,4,-0.0255
50,6,-0.0441
50,8,-0.0619
50,10,-0.0788
50,15,-0.0693
50,20,-0.0384
50,25,-0.0217
50,30,-0.012
55,-30,-0.0449
55,-25,-0.0324
55,-20,0.0102
55,-15,-0.0077
55,-10,-0.0161
55,-8,-0.009
55,-6,-0.0057
55,-4,-0.0065
55,-2,0.004
55,0,0
55,2,-0.0019
55,4,-0.0152
55,6,-0.0275
55,8,-0.0315
55,10,-0.0305
55,15,-0.0386
55,20,-0.0564
55,25,-0.0137
55,30,-0.0017
60,-30,-0.0055
60,-25,0.0068
60,-20,0.0374
60,-15,0.0119
60,-10,0.0234
60,-8,0.0127
60,-6,-0.0016
60,-4,-0.012
60,-2,-0.0029
60,0,0
60,2,0.0052
60,4,0.0057
60,6,-0.0101
60,8,-0.0215
60,10,-0.0221
60,15,-0.0263
60,20,-0.0358
60,25,-0.0055
60,30,0.0066
70,-30,0.0232
70,-25,0.028
70,-20,0.203
70,-15,0.0127
70,-10,0.0007
70,-8,-0.0031
70,-6,-0.007
70,-4,-0.0137
70,-2,-0.0168
70,0,0
70,2,0.0028
70,4,0.0133
70,6,0.0138
70,8,0.0083
70,10,0.0018
70,15,-0.01
70,20,-0.0173
70,25,-0.0251
70,30,-0.0207
80,-30,0.0236
80,-25,0.0237
80,-20,0.0161
80,-15,0.0116
80,-10,0.0099
80,-8,0.011
80,-6,0.0108
80,-4,0.0087
80,-2,0.0059
80,0,0
80,2,-0.0013
80,4,0.0035
80,6,-0.0054
80,8,-0.0069
80,10,-0.0054
80,15,-0.0075
80,20,-0.0117
80,25,-0.0192
80,30,-0.0191
90,-30,0.0319
90,-25,0.0199
90,-20,0.0108
90,-15,0.0018
90,-10,0.0079
90,-8,0.0062
90,-6,0.0039
90,-4,0.0029
90,-2,0.0018
90,0,0
90,2,-0.0064
90,4,-0.0051
90,6,-0.0098
90,8,-0.0097
90,10,-0.0101
90,15,-0.0038
90,20,-0.0072
90,25,-0.0159
90,30,-0.0277
