-20,-30,0.02
-20,-25,-0.0036
-20,-20,-0.0107
-20,-15,-0.0334
-20,-10,-0.0778
-20,-8,-0.0944
-20,-6,-0.0926
-20,-4,-0.0855
-20,-2,-0.0815
-20,0,-0.0835
-20,2,-0.0955
-20,4,-0.093
-20,6,-0.0943
-20,8,-0.0881
-20,10,-0.0743
-20,15,-0.0265
-20,20,-0.004
-20,25,0.0034
-20,30,0.0268
-15,-30,-0.0153
-15,-25,-0.0385
-15,-20,-0.0525
-15,-15,-0.0743
-15,-10,-0.1233
-15,-8,-0.1376
-15,-6,-0.1466
-15,-4,-0.1551
-15,-2,-0.1663
-15,0,-0.1719
-15,2,-0.1683
-15,4,-0.1568
-15,6,-0.1437
-15,8,-0.1371
-15,10,-0.1295
-15,15,-0.0798
-15,20,-0.0589
-15,25,-0.0445
-15,30,-0.0241
-10,-30,-0.0549
-10,-25,-0.0792
-10,-20,-0.0932
-10,-15,-0.1226
-10,-10,-0.1521
-10,-8,-0.1609
-10,-6,-0.1688
-10,-4,-0.1774
-10,-2,-0.188
-10,0,-0.2153
-10,2,-0.1839
-10,4,-0.1738
-10,6,-0.1648
-10,8,-0.1594
-10,10,-0.1525
-10,15,-0.1225
-10,20,1.0931
-10,25,-0.1276
-10,30,-0.0548
-5,-30,-0.112
-5,-25,-0.124
-5,-20,-0.152
-5,-15,-0.168
-5,-10,-0.183
-5,-8,-0.188
-5,-6,-0.191
-5,-4,-0.192
-5,-2,-0.189
-5,0,-0.1888
-5,2,-0.19
-5,4,-0.193
-5,6,-0.193
-5,8,-0.191
-5,10,-0.183
-5,15,-0.168
-5,20,-0.152
-5,25,-0.125
-5,30,-0.112
0,-30,-0.117
0,-25,-0.127
0,-20,-0.152
0,-15,-0.159
0,-10,-0.16
0,-8,-0.16
0,-6,-0.159
0,-4,-0.157
0,-2,-0.162
0,0,-0.161
0,2,-0.162
0,4,-0.163
0,6,-0.167
0,8,-0.162
0,10,-0.162
0,15,-0.162
0,20,-0.153
0,25,-0.126
0,30,-0.117
5,-30,-0.105
5,-25,-0.133
5,-20,-0.144
5,-15,-0.155
5,-10,-0.155
5,-8,-0.155
5,-6,-0.155
5,-4,-0.155
5,-2,-0.158
5,0,-0.1606
5,2,-0.161
5,4,-0.162
5,6,-0.157
5,8,-0.157
5,10,-0.156
5,15,-0.156
5,20,-0.145
5,25,-0.133
5,30,-0.118
10,-30,-0.097
10,-25,-0.112
10,-20,-0.122
10,-15,-0.135
10,-10,-0.142
10,-8,-0.142
10,-6,-0.151
10,-4,-0.153
10,-2,-0.157
10,0,-0.1548
10,2,-0.155
10,4,-0.152
10,6,-0.153
10,8,-0.145
10,10,-0.146
10,15,-0.14
10,20,-0.126
10,25,-0.117
10,30,-0.104
15,-30,-0.097
15,-25,-0.118
15,-20,-0.133
15,-15,-0.151
15,-10,-0.152
15,-8,-0.15
15,-6,-0.155
15,-4,-0.155
15,-2,-0.152
15,0,-0.145
15,2,-0.148
15,4,-0.155
15,6,-0.155
15,8,-0.157
15,10,-0.152
15,15,-0.151
15,20,-0.134
15,25,-0.118
15,30,-0.096
20,-30,-0.062
20,-25,-0.083
20,-20,-0.097
20,-15,-0.106
20,-10,-0.134
20,-8,-0.143
20,-6,-0.138
20,-4,-0.134
20,-2,-0.13
20,0,-0.12649
20,2,-0.126
20,4,-0.126
20,6,-0.151
20,8,-0.161
20,10,-0.166
20,15,-0.137
20,20,-0.126
20,25,-0.115
20,30,-0.094
25,-30,-0.075
25,-25,-0.103
25,-20,-0.113
25,-15,-0.108
25,-10,-0.137
25,-8,-0.144
25,-6,-0.153
25,-4,-0.154
25,-2,-0.154
25,0,-0.153
25,2,-0.155
25,4,-0.15
25,6,-0.15
25,8,-0.16
25,10,-0.164
25,15,-0.133
25,20,-0.138
25,25,-0.129
25,30,-0.099
30,-30,-0.088
30,-25,-0.168
30,-20,-0.165
30,-15,-0.172
30,-10,-0.171
30,-8,-0.155
30,-6,-0.15
30,-4,-0.147
30,-2,-0.144
30,0,-0.144
30,2,-0.145
30,4,-0.146
30,6,-0.153
30,8,-0.157
30,10,-0.156
30,15,-0.159
30,20,-0.152
30,25,-0.155
30,30,-0.075
35,-30,-0.105
35,-25,-0.1611
35,-20,-0.1862
35,-15,-0.2095
35,-10,-0.1951
35,-8,-0.176
35,-6,-0.1514
35,-4,-0.1444
35,-2,-0.1427
35,0,0.1411
35,2,-0.145
35,4,-0.1513
35,6,-0.1565
35,8,-0.1627
35,10,-0.1705
35,15,-0.1836
35,20,-0.1611
35,25,-0.1363
35,30,-0.0815
40,-30,-0.0438
40,-25,-0.1079
40,-20,-0.1281
40,-15,-0.1485
40,-10,-0.1405
40,-8,-0.1272
40,-6,-0.1301
40,-4,-0.1367
40,-2,-0.1555
40,0,-0.145
40,2,-0.1543
40,4,-0.1595
40,6,-0.1527
40,8,-0.1644
40,10,-0.1682
40,15,-0.1791
40,20,-0.1553
40,25,-0.1362
40,30,-0.0744
45,-30,-0.1448
45,-25,-0.0931
45,-20,-0.1319
45,-15,-0.1793
45,-10,-0.1518
45,-8,-0.1264
45,-6,-0.1053
45,-4,-0.1575
45,-2,-0.1807
45,0,-0.1411
45,2,-0.1635
45,4,-0.1655
45,6,-0.1635
45,8,-0.1815
45,10,-0.1872
45,15,-0.2206
45,20,-0.1644
45,25,-0.132
45,30,-0.1935
50,-30,-0.153
50,-25,-0.133
50,-20,-0.128
50,-15,-0.147
50,-10,-0.1077
50,-8,-0.103
50,-6,-0.1111
50,-4,-0.1154
50,-2,-0.1161
50,0,-0.1008
50,2,-0.106
50,4,-0.1254
50,6,-0.1273
50,8,-0.1228
50,10,-0.1052
50,15,-0.1442
50,20,-0.1253
50,25,-0.1286
50,30,-0.1498
55,-30,-0.076
