-20,-30,1.183
-20,-25,1.246
-20,-20,1.279
-20,-15,1.29
-20,-10,1.369
-20,-8,1.364
-20,-6,1.297
-20,-4,1.277
-20,-2,1.276
-20,0,1.256
-20,2,1.281
-20,4,1.28
-20,6,1.312
-20,8,1.315
-20,10,1.306
-20,15,1.227
-20,20,1.216
-20,25,1.183
-20,30,1.12
-15,-30,0.96
-15,-25,1.018
-15,-20,1.055
-15,-15,1.093
-15,-10,1.058
-15,-8,1.039
-15,-6,1.031
-15,-4,1.019
-15,-2,1.025
-15,0,1.035
-15,2,1.033
-15,4,1.042
-15,6,1.043
-15,8,1.056
-15,10,1.056
-15,15,1.091
-15,20,1.053
-15,25,1.016
-15,30,0.958
-10,-30,0.709
-10,-25,0.71
-10,-20,0.702
-10,-15,0.704
-10,-10,0.701
-10,-8,0.71
-10,-6,0.73
-10,-4,0.729
-10,-2,0.729
-10,0,0.725
-10,2,0.729
-10,4,0.728
-10,6,0.728
-10,8,0.723
-10,10,0.711
-10,15,0.74
-10,20,0.712
-10,25,0.72
-10,30,0.719
-5,-30,0.222
-5,-25,0.216
-5,-20,0.231
-5,-15,0.227
-5,-10,0.24
-5,-8,0.243
-5,-6,0.244
-5,-4,0.249
-5,-2,0.249
-5,0,0.248
-5,2,0.248
-5,4,0.242
-5,6,0.239
-5,8,0.235
-5,10,0.229
-5,15,0.216
-5,20,0.22
-5,25,0.205
-5,30,0.211
0,-30,-0.066
0,-25,-0.084
0,-20,-0.09
0,-15,-0.105
0,-10,-0.104
0,-8,-0.099
0,-6,-0.107
0,-4,-0.099
0,-2,-0.099
0,0,-0.1
0,2,-0.101
0,4,-0.104
0,6,-0.104
0,8,-0.104
0,10,-0.06
0,15,-0.107
0,20,-0.092
0,25,-0.086
0,30,-0.068
5,-30,-0.317
5,-25,-0.347
5,-20,-0.39
5,-15,-0.414
5,-10,-0.42
5,-8,-0.417
5,-6,-0.417
5,-4,-0.421
5,-2,-0.424
5,0,-0.428
5,2,-0.421
5,4,-0.428
5,6,-0.422
5,8,-0.423
5,10,-0.425
5,15,-0.419
5,20,-0.395
5,25,-0.352
5,30,-0.322
10,-30,-0.569
10,-25,-0.619
10,-20,-0.679
10,-15,-0.703
10,-10,-0.728
10,-8,-0.765
10,-6,-0.772
10,-4,-0.774
10,-2,-0.772
10,0,-0.774
10,2,-0.77
10,4,-0.767
10,6,-0.761
10,8,-0.754
10,10,-0.756
10,15,-0.731
10,20,-0.7
10,25,-0.645
10,30,-0.597
15,-30,-0.853
15,-25,-0.929
15,-20,-1.018
15,-15,-1.07
15,-10,-1.098
15,-8,-1.116
15,-6,-1.1144
15,-4,-1.151
15,-2,-1.142
15,0,-1.139
15,2,-1.135
15,4,-1.118
15,6,-1.112
15,8,-1.107
15,10,-1.099
15,15,-1.071
15,20,-1.019
15,25,-0.93
15,30,-0.854
20,-30,-1.106
20,-25,-1.168
20,-20,-1.228
20,-15,-1.314
20,-10,-1.348
20,-8,-1.359
20,-6,-1.362
20,-4,-1.352
20,-2,-1.357
20,0,-1.355
20,2,-1.371
20,4,-1.376
20,6,-1.37
20,8,-1.379
20,10,-1.399
20,15,-1.365
20,20,-1.279
20,25,-1.219
20,30,-1.157
25,-30,-1.314
25,-25,-1.407
25,-20,-1.465
25,-15,-1.506
25,-10,-1.564
25,-8,-1.598
25,-6,-1.628
25,-4,-1.647
25,-2,-1.646
25,0,-1.65
25,2,-1.642
25,4,-1.641
25,6,-1.618
25,8,-1.599
25,10,-1.585
25,15,-1.527
25,20,-1.486
25,25,-1.428
25,30,-1.335
30,-30,-1.496
30,-25,-1.51
30,-20,-1.589
30,-15,-1.692
30,-10,-1.775
30,-8,-1.814
30,-6,-1.846
30,-4,-1.875
30,-2,-1.879
30,0,-1.883
30,2,-1.891
30,4,-1.876
30,6,-1.843
30,8,-1.838
30,10,-1.811
30,15,-1.728
30,20,-1.625
30,25,-1.546
30,30,-1.532
35,-30,-1.594
35,-25,-1.694
35,-20,-1.807
35,-15,-1.875
35,-10,-1.957
35,-8,-1.976
35,-6,-2.032
35,-4,-2.06
35,-2,-2.07
35,0,-2.077
35,2,-2.038
35,4,-2.039
35,6,-2.028
35,8,-2.005
35,10,-1.986
35,15,-1.904
35,20,-1.836
35,25,-1.71
35,30,-1.623
40,-30,-1.683
40,-25,-1.755
40,-20,-1.912
40,-15,-1.999
40,-10,-2.111
40,-8,-2.149
40,-6,-2.147
40,-4,-2.204
40,-2,-2.207
40,0,-2.204
40,2,-2.205
40,4,-2.195
40,6,-2.193
40,8,-2.174
40,10,-2.133
40,15,-2.021
40,20,-1.934
40,25,-1.777
40,30,-1.705
45,-30,-1.664
45,-25,-1.783
45,-20,-1.859
45,-15,-1.962
45,-10,-2.03
45,-8,-2.129
45,-6,-1.917
45,-4,-2.143
45,-2,-2.05
45,0,-2.208
45,2,-2.201
45,4,-2.182
45,6,-2.077
45,8,-2.209
45,10,-2.126
45,15,-2.058
45,20,-1.955
45,25,-1.879
45,30,-1.76
