alpha,beta,Cz
55,4,-1.972
55,6,-2.016
55,8,-2.019
55,10,-2.025
55,15,-1.82
55,20,-1.732
55,25,-1.749
55,30,-1.669
60,-30,-1.724
60,-25,-1.793
60,-20,-1.8
60,-15,-1.756
60,-10,-1.949
60,-8,-1.923
60,-6,-1.975
60,-4,-1.99
60,-2,-2.005
60,0,-2.051
60,2,-2.021
60,4,-1.914
60,6,-1.956
60,8,-1.998
60,10,-1.985
60,15,-1.792
60,20,-1.836
60,25,-1.829
60,30,-1.76
70,-30,-1.743
70,-25,-1.754
70,-20,-1.811
70,-15,-1.781
70,-10,-1.839
70,-8,-1.897
70,-6,-2.004
70,-4,-1.999
70,-2,-1.986
70,0,-2.027
70,2,-1.943
70,4,-1.835
70,6,-1.925
70,8,-1.993
70,10,-1.921
70,15,-1.863
70,20,-1.893
70,25,-1.836
70,30,-1.825
80,-30,-1.935
80,-25,-1.993
80,-20,-1.979
80,-15,-1.991
80,-10,-1.928
80,-8,-1.877
80,-6,-1.931
80,-4,-1.981
80,-2,-1.892
80,0,-1.916
80,2,-1.938
80,4,-1.856
80,6,-1.943
80,8,-1.947
80,10,-1.848
80,15,-1.911
80,20,-1.899
80,25,-1.913
80,30,-1.855
90,-30,-1.99
90,-25,-2.009
90,-20,-1.95
90,-15,-1.979
90,-10,-2.006
90,-8,-2.085
90,-6,-2.019
90,-4,-2.007
90,-2,-2.019
90,0,-1.998
90,2,-1.99
90,4,-2.004
90,6,-2.036
90,8,-2.102
90,10,-2.003
90,15,-1.976
90,20,-1.947
90,25,-2.006
90,30,-1.987
